No,Section,Page,Header,Emoji,English,Sinhala
7085,Characters,People & Body,person-role,🧕,headscarf | hijab | mantilla | tichel | woman with headscarf,අඳිනවා | ටිචෙල් | මැන්ටිල්ලා | හිස් වැසුම් සහිත කාන්තාවකි | හීජාබ්
7087,Characters,People & Body,person-role,🤵,groom | person | person in tuxedo | tuxedo,ටක්සෙඩෝ | ටක්සෙඩෝ කබායක් ඇද සිටින පිරිමියා | ටක්සෙඩෝව ඇද සිටින පුද්ගලයා | පිරිමියා | මනමාලයා
7089,Characters,People & Body,person-role,🤵‍♂,man | man in tuxedo | tuxedo,ටක්සෙඩෝව | ටක්සෙඩෝවෙන් සිටින මිනිසා | මිනිසා
7091,Characters,People & Body,person-role,🤵‍♀,tuxedo | woman | woman in tuxedo,කාන්තාව | ටක්සෙඩෝව | ටක්සෙඩෝවෙන් සිටින කාන්තාව
7093,Characters,People & Body,person-role,👰,bride | person | person with veil | veil | wedding,පුද්ගලයා | මනාලිය | විවාහ මංග්‍යලය | වේලය | වේලය දැමූ පුද්ගලයා
7095,Characters,People & Body,person-role,👰‍♂,man | man with veil | veil,මිනිසා | වැස්ම | වැස්ම සහිත මිනිසා
7097,Characters,People & Body,person-role,👰‍♀,veil | woman | woman with veil,කාන්තාව | වැස්ම | වැස්ම සහිත කාන්තාව
7099,Characters,People & Body,person-role,🤰,pregnant | woman,ගැබිණිය | ගැහැණිය
7101,Characters,People & Body,person-role,🫃,belly | bloated | full | pregnant | pregnant man,ඉදිමී | ගර්භනී | ගර්භනී මිනිසා | බඩ | සම්පූර්ණ
7103,Characters,People & Body,person-role,🫄,belly | bloated | full | pregnant | pregnant person,ඉදිමී | ගර්භනී | ගර්භනී පුද්ගලයා | බඩ | සම්පූර්ණ
7105,Characters,People & Body,person-role,🤱,baby | breast | breast-feeding | nursing,කිරි දීම | දරුවා | පියයුරු
7107,Characters,People & Body,person-role,👩‍🍼,baby | feeding | nursing | woman,කාන්තාව | පෝෂණය | බබා | බබා පෝෂණය කරන කාන්තාව | හෙද
7109,Characters,People & Body,person-role,👨‍🍼,baby | feeding | man | nursing,පෝෂණය | බබා | බබා පෝෂණය කරන මිනිසා | මිනිසා | හෙද සේවය
7111,Characters,People & Body,person-role,🧑‍🍼,baby | feeding | nursing | person,කිරි දීම | දරුවා පෝෂණය කරන පුද්ගලයා | පුද්ගලයා | පෝෂණය | බබා පෝෂණය කරන පුද්ගලයා | ළදරුවා
7113,Characters,People & Body,person-fantasy,👼,angel | baby | face | fairy tale | fantasy,මුහුණ | සිහින ලෝකය | සුරංඟනා කථාව | සුරදූතයා | ළදරු
7115,Characters,People & Body,person-fantasy,🎅,celebration | Christmas | claus | father | santa | Santa Claus,නත්තල් සීයා | පියා | සිහින ලෝකය | සුරංඟනා කථාව
7117,Characters,People & Body,person-fantasy,🤶,celebration | Christmas | claus | mother | Mrs. | Mrs. Claus,අම්මා | නතල් ආච්චි | නත්තල
7119,Characters,People & Body,person-fantasy,🧑‍🎄,"Claus, christmas | mx claus","නත්තල් සීය | නත්තල් සීයා | සීයා, නත්තල"
7121,Characters,People & Body,person-fantasy,🦸,good | hero | heroine | superhero | superpower,වීරයෙක් | සුපිරි බලයක් | සුපිරි වීරයා | හෙරෝයින් | හොඳයි
7123,Characters,People & Body,person-fantasy,🦸‍♂,good | hero | man | man superhero | superpower,මිනිසා | මිනිසා සුපිරි වීරයා | වීරයෙක් | සුපිරි බලවතා | හොඳයි
7125,Characters,People & Body,person-fantasy,🦸‍♀,good | hero | heroine | superpower | woman | woman superhero,කාන්තා සුපිරි වීරයා | කාන්තාව | වීරයෙක් | සුපිරි බලය | හිරෝයින් | හොඳයි
7127,Characters,People & Body,person-fantasy,🦹,criminal | evil | superpower | supervillain | villain,අපරාධකාරයෙක් | දුෂ්ටයා | නරකයි | සුපිරි දුෂ්ටයා | සුපිරි බලවතා
7129,Characters,People & Body,person-fantasy,🦹‍♂,criminal | evil | man | man supervillain | superpower | villain,අපරාධකාරයෙක් | දුෂ්ටයා | නරකයි | පිරිමි සුපිරි දුෂ්ටයා | මිනිසා | සුපිරි බලවතා
7131,Characters,People & Body,person-fantasy,🦹‍♀,criminal | evil | superpower | villain | woman | woman supervillain,අපරාධකාරයෙක් | කාන්තාව දුෂ්ටයා | කාන්තාවක් | දුෂ්ටයා | නරකයි | සුපිරි බලවතා
7133,Characters,People & Body,person-fantasy,🧙,mage | sorcerer | sorceress | witch | wizard,මන්ත්‍රකාරිය | මායාකරුවා | මායාකාරිය
7135,Characters,People & Body,person-fantasy,🧙‍♂,man mage | sorcerer | wizard,පිරිමි මායාකරුවා | මන්ත්‍රකරුවා | මායාකරුවා
7137,Characters,People & Body,person-fantasy,🧙‍♀,sorceress | witch | woman mage,මන්ත්‍රකාරිය | මායාකාරිය
7139,Characters,People & Body,person-fantasy,🧚,fairy | Oberon | Puck | Titania,ඔබෙරෝන් | ටයිටානියා | පක් | සුරඟන
7141,Characters,People & Body,person-fantasy,🧚‍♂,man fairy | Oberon | Puck,ඔබෙරෝන් | පක් | පිරිමි සුරඟන
7143,Characters,People & Body,person-fantasy,🧚‍♀,Titania | woman fairy,ටයිටානියා | සුරංගනාව
7145,Characters,People & Body,person-fantasy,🧛,Dracula | undead | vampire,ඩ්‍රකියූලා | නොමැරුණු | වැම්පයර්
7147,Characters,People & Body,person-fantasy,🧛‍♂,Dracula | man vampire | undead,ඩ්‍රකියූලා | නොමැරුණු | පිරිමි වැම්පයර්
7149,Characters,People & Body,person-fantasy,🧛‍♀,undead | woman vampire,ගැණු වැම්පයර් | නොමැරුණු
7151,Characters,People & Body,person-fantasy,🧜,mermaid | merman | merperson | merwoman,දියකිඳුරා | දියකිඳුරිය | දියකිඳුරු
7153,Characters,People & Body,person-fantasy,🧜‍♂,merman | Triton,ට්‍රිටෝන් | පිරිමි දියකිඳුරා
7155,Characters,People & Body,person-fantasy,🧜‍♀,mermaid | merwoman,දියකිඳුරා | දියකිඳුරිය
7157,Characters,People & Body,person-fantasy,🧝,elf | magical,ඉන්ද්රජාලික | එල්ෆ්
7159,Characters,People & Body,person-fantasy,🧝‍♂,magical | man elf,පිරිමි එල්ෆ් | මායාවී
7161,Characters,People & Body,person-fantasy,🧝‍♀,magical | woman elf,ඉන්ද්රජාලික | ගෑනු එල්ෆ්
7163,Characters,People & Body,person-fantasy,🧞,djinn | genie,ජින් | බහිරවයා
7165,Characters,People & Body,person-fantasy,🧞‍♂,djinn | man genie,ජින් | පිරිමි බහිරවයා
7167,Characters,People & Body,person-fantasy,🧞‍♀,djinn | woman genie,ගැනු බහිරවයා | ජින්
7169,Characters,People & Body,person-fantasy,🧟,undead | walking dead | zombie,නොමැරුණු | මැරී ඇවිදිම | සොම්බි
7171,Characters,People & Body,person-fantasy,🧟‍♂,man zombie | undead | walking dead,නොමැරුණු | පිරිමි සොම්බි | මැරී ඇවිදිම
7173,Characters,People & Body,person-fantasy,🧟‍♀,undead | walking dead | woman zombie,ගැනු සොම්බි | නොමැරුණු | මැරී ඇවිදිම
7175,Characters,People & Body,person-fantasy,🧌,fairy tale | fantasy | monster | troll,මනහ්කල්පිත | රාක්ෂයා | සුරංගනා කතාව
7177,Characters,People & Body,person-activity,💆,face | massage | person getting massage | salon,පණිවිඩය | මුහුණ මසාජ් කිරීම | සැලෝනය
7179,Characters,People & Body,person-activity,💆‍♂,face | man | man getting massage | massage,පිරිමියා | මසාජ් කිරීම | මිනිහා | මුහුණ | මුහුණට මසාජ් කිරීමක් ලබන මිනිසා
7181,Characters,People & Body,person-activity,💆‍♀,face | massage | woman | woman getting massage,කාන්තාව | මසාජ් කිරීම | මුහුණ | මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව | ස්ත්‍රිය
7183,Characters,People & Body,person-activity,💇,barber | beauty | haircut | parlor | person getting haircut,කොණ්ඩය කැපීම | බාබර් | රූප | ලාවණ්‍යාගාරය
7185,Characters,People & Body,person-activity,💇‍♂,haircut | man | man getting haircut,කොණ්ඩය කපන මිනිසා | කොණ්ඩය කැපීම | පිරිමියා | මිනිහා
7187,Characters,People & Body,person-activity,💇‍♀,haircut | woman | woman getting haircut,කාන්තාව | කොණ්ඩය කපන කාන්තාව | කොණ්ඩය කැපීම | ස්ත්‍රිය
7189,Characters,People & Body,person-activity,🚶,hike | person walking | walk | walking,ඇවිදිමින් | ඇවිදීම | පදිකයා | පයින් යාම
7191,Characters,People & Body,person-activity,🚶‍♂,hike | man | man walking | walk,ඇවිදීන පිරිමියා | ඇවිදීම | පයින් යාම | පිරිමියා | මිනිහා
7193,Characters,People & Body,person-activity,🚶‍♀,hike | walk | woman | woman walking,ඇවිදීන කාන්තාව | ඇවිදීම | කාන්තාව | පයින් යාම | ස්ත්‍රිය
7195,Characters,People & Body,person-activity,🧍,person standing | stand | standing,පුද්ගලයා සිටගෙන සිටී | සිටින්න | සිටීම
7197,Characters,People & Body,person-activity,🧍‍♂,man | standing,මිනිසා | මිනිසා සිටිගෙන සිටී | සිටීම
7199,Characters,People & Body,person-activity,🧍‍♀,standing | woman,කාන්තාව | කාන්තාව සිටිගෙන සිටී | සිටීම
7201,Characters,People & Body,person-activity,🧎,kneel | kneeling | person kneeling,දණ ගසන පුද්ගලයා | දණ ගසන්න | දණ ගැසීම
7203,Characters,People & Body,person-activity,🧎‍♂,kneeling | man,දණ ගැසීම | මිනිසා | මිනිසා දණ ගසයි
7205,Characters,People & Body,person-activity,🧎‍♀,kneeling | woman,කාන්තාව | කාන්තාව දණ ගසයි | දණ ගැසීම
7207,Characters,People & Body,person-activity,🧑‍🦯,accessibility | blind | person with white cane,අන්ධ | ප්‍රවේශ්‍යතාව | සැරයැටියක් රැගෙන යන පුද්ගලයා
7209,Characters,People & Body,person-activity,👨‍🦯,accessibility | blind | man | man with white cane,අන්ධ | ඒෂණ දණ්ඩක් සහිත මිනිසා | මිනිසා | ළඟාවිය හැකි බව
7211,Characters,People & Body,person-activity,👩‍🦯,accessibility | blind | woman | woman with white cane,අන්ධ | ඒෂණ දණ්ඩක් සහිත කාන්තාව | කාන්තාව | ළඟාවිය හැකි බව
7213,Characters,People & Body,person-activity,🧑‍🦼,accessibility | person in motorized wheelchair | wheelchair,ප්‍රවේශ්‍යතාව | මෝටර් රෝද පුටුවේ සිටින පුද්ගලයා | රෝද පුටුව
7215,Characters,People & Body,person-activity,👨‍🦼,accessibility | man | man in motorized wheelchair | wheelchair,මිනිසා | මෝටර් රෝද පුටුවක සිටින මිනිසා | රෝද පුටුව | ළඟාවිය හැකි බව
7217,Characters,People & Body,person-activity,👩‍🦼,accessibility | wheelchair | woman | woman in motorized wheelchair,කාන්තාව | මෝටර් රෝද පුටුවක සිටින කාන්තාව | රෝද පුටුව | ළඟාවිය හැකි බව
7219,Characters,People & Body,person-activity,🧑‍🦽,accessibility | person in manual wheelchair | wheelchair,රෝද පුටුවේ සිටින පුද්ගලයා
7221,Characters,People & Body,person-activity,👨‍🦽,accessibility | man | man in manual wheelchair | wheelchair,අතින් කරකන රෝද පුටුවක සිටින මිනිසා | මිනිසා | රෝද පුටුව | ළඟාවිය හැකි බව
7223,Characters,People & Body,person-activity,👩‍🦽,accessibility | wheelchair | woman | woman in manual wheelchair,අතින් කරකන රෝද පුටුවක සිටින කාන්තාව | කාන්තාව | රෝද පුටුව | ළඟාවිය හැකි බව
7225,Characters,People & Body,person-activity,🏃,marathon | person running | running,දුවන්නා | දුවමින් | මැරතන්
7227,Characters,People & Body,person-activity,🏃‍♂,man | marathon | racing | running,දිවීම | දුවන පිරිමියා | පිරිමියා | මැරතන් | මිනිහා
7229,Characters,People & Body,person-activity,🏃‍♀,marathon | racing | running | woman,කාන්තාව | දිවීම | දුවන කාන්තාව | මැරතන් | ස්ත්‍රිය
7231,Characters,People & Body,person-activity,💃,dance | dancing | woman,කාන්තාව | නැටුම් | නැට්ටුක්කාරි
7233,Characters,People & Body,person-activity,🕺,dance | dancing | man,නටන | පිරිමියා
7235,Characters,People & Body,person-activity,🕴,business | person | person in suit levitating | suit,ඇඳුම් කට්ටලය | මිනිසා | ව්‍යාාපාර ඇඳුමෙන් ඉහළ පහළ යන මිනිසා | ව්‍යාාපාරය
7237,Characters,People & Body,person-activity,👯,bunny ear | dancer | partying | people with bunny ears,කන | කාන්තාව | නැට්ටුවා | සාද පවත්වන ගැහැණු | හා කන් ඇති මිනිසුන් | ළදැරිය
7239,Characters,People & Body,person-activity,👯‍♂,bunny ear | dancer | men | men with bunny ears | partying,නර්තන ශිල්පියා | පිරිමියා | මිනිහා | සාද පවත්වන පිරිමි | හා කන | හා කන් ඇති පිරිමි
7241,Characters,People & Body,person-activity,👯‍♀,bunny ear | dancer | partying | women | women with bunny ears,කාන්තාව | නර්තන ශිල්පිනිය | සාද පවත්වන කාන්තාවන් | ස්ත්‍රිය | හා කන | හා කන් ඇති කාන්තාව
7243,Characters,People & Body,person-activity,🧖,person in steamy room | sauna | steam room,හුමාල කාමරය | හුමාල කාමරය තුළ පුද්ගලයා | හුමාල ස්නානය
7245,Characters,People & Body,person-activity,🧖‍♂,man in steamy room | sauna | steam room,හුමාල කාමරය | හුමාල කාමරය තුළ පිරිමියා | හුමාල ස්නානය
7247,Characters,People & Body,person-activity,🧖‍♀,sauna | steam room | woman in steamy room,හුමාල කාමරය | හුමාල කාමරය තුළ ගැහැණිය | හුමාල ස්නානය
7249,Characters,People & Body,person-activity,🧗,climber | person climbing,කඳු නගින පුද්ගලයා | කඳු නගින්නා
7251,Characters,People & Body,person-activity,🧗‍♂,climber | man climbing,කඳු නගින පිරිමියා | කඳු නගින්නා
7253,Characters,People & Body,person-activity,🧗‍♀,climber | woman climbing,කඳු නගින ගැහැණිය | කඳු නගින්නා
7255,Characters,People & Body,person-sport,🤺,fencer | fencing | person fencing | sword,කඩු හරඹ කරු | කඩු හරඹ කිරීම | කඩුව | ක්‍රීඩා | පුද්ගලයා
7257,Characters,People & Body,person-sport,🏇,horse | jockey | racehorse | racing,අශ්ව රේස් | අශ්වයා | ජොකී | රේස්
7259,Characters,People & Body,person-sport,⛷,ski | skier | snow,ස්කයි | ස්කයි ක්‍රීඩකයා | හිම
7261,Characters,People & Body,person-sport,🏂,ski | snow | snowboard | snowboarder,ස්කයි | හිම | හිම පුවරුව | හිම මත ලිස්සා යන්නා
7263,Characters,People & Body,person-sport,🏌,ball | golf | person golfing,ගොල්ෆ් | ගොල්ෆ් ක්‍රීඩකයා | බෝලය
7265,Characters,People & Body,person-sport,🏌‍♂,golf | man | man golfing,ගොල්ෆ් | ගොල්ෆ් ක්‍රීඩා කරන මිනිසා | පිරිමියා | මිනිහා
7267,Characters,People & Body,person-sport,🏌‍♀,golf | woman | woman golfing,කාන්තාව | ගොල්ෆ් | ගොල්ෆ් ක්‍රීඩා කරන කාන්තාව | ස්ත්‍රිය
7269,Characters,People & Body,person-sport,🏄,person surfing | surfing,හිම පුවරුවේ යන්නා | හිම පුවරුවේ යාම
7271,Characters,People & Body,person-sport,🏄‍♂,man | surfing,මිනිහා | රැළි පැදීම | හිම පුවරුවේ යන මිනිසා
7273,Characters,People & Body,person-sport,🏄‍♀,surfing | woman,කාන්තාව | රැළි පැදීම | හිම පුවරුවේ යන කාන්තාව
7275,Characters,People & Body,person-sport,🚣,boat | person rowing boat | rowboat,පදින බෝට්ටුව | බෝට්ටුව | වාහනය
7277,Characters,People & Body,person-sport,🚣‍♂,boat | man | man rowing boat | rowboat,ඔරුව | පිරිමියා | බෝට්ටුව | බෝට්ටුව පදින මිනිසා | මිනිහා
7279,Characters,People & Body,person-sport,🚣‍♀,boat | rowboat | woman | woman rowing boat,ඔරුව | කාන්තාව | බෝට්ටුව | බෝට්ටුව පදින කාන්තාව | ස්ත්‍රිය
7281,Characters,People & Body,person-sport,🏊,person swimming | swim,පිහිනීම | පිහිනුම්කරු
7283,Characters,People & Body,person-sport,🏊‍♂,man | man swimming | swim,පිරිමියා | පිහිනන මිනිසා | පිහිනීම | මිනිහා
7285,Characters,People & Body,person-sport,🏊‍♀,swim | woman | woman swimming,කාන්තාව | පිහිනන කාන්තාව | පිහිනීම | ස්ත්‍රිය
7287,Characters,People & Body,person-sport,⛹,ball | person bouncing ball,බෝලය | බෝලයක් සහිත පුද්ගලයා
7289,Characters,People & Body,person-sport,⛹‍♂,ball | man | man bouncing ball,පිරිමියා | බෝලය | බෝලයක් සහිත මිනිසා | මිනිහා
7291,Characters,People & Body,person-sport,⛹‍♀,ball | woman | woman bouncing ball,කාන්තාව | බෝලය | බෝලයක් සහිත කාන්තාව | ස්ත්‍රිය
7293,Characters,People & Body,person-sport,🏋,lifter | person lifting weights | weight,උසුලන්නා | බර
7295,Characters,People & Body,person-sport,🏋‍♂,man | man lifting weights | weight lifter,පිරිමියා | බර උසුලන මිනිසා | බර එසවීම | මිනිහා
7297,Characters,People & Body,person-sport,🏋‍♀,weight lifter | woman | woman lifting weights,කාන්තාව | බර උසුලන කාන්තාව | බර එසවීම | ස්ත්‍රිය
7299,Characters,People & Body,person-sport,🚴,bicycle | biking | cyclist | person biking,බයික් | බයිසිකල් පදින්නා | බයිසිකල්කරු | බයිිසිකලය
7301,Characters,People & Body,person-sport,🚴‍♂,bicycle | biking | cyclist | man,පාපැදිකරු | පිරිමියා | බයිසිකලය | බයිසිකල් පදින මිනිසා | බයිසිකල් පැදීම
7303,Characters,People & Body,person-sport,🚴‍♀,bicycle | biking | cyclist | woman,කාන්තාව | පාපැදිකරු | බයිසිකලය | බයිසිකල් පදින කාන්තාව | බයිසිකල් පැදීම
7305,Characters,People & Body,person-sport,🚵,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking,කන්ද | කඳු බයිසිකල් පදින්නා | බයිසිකලය | බයිසිකල්කරු | සයිකල් පදින්නා
7307,Characters,People & Body,person-sport,🚵‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain,කඳු | කඳු බයිසිකල් පදින මිනිසා | පාපැදිකරු | පාපැදිය | බයිසිකලය
7309,Characters,People & Body,person-sport,🚵‍♀,bicycle | bike | biking | cyclist | mountain | woman,කඳු | කඳු බයිසිකල් පදින කාන්තාව | කාන්තාව | බයිසිකලය | බයිසිකල් පැදීම
7311,Characters,People & Body,person-sport,🤸,cartwheel | gymnastics | person cartwheeling,කරත්ත රෝදය | ක්‍රීඩා | පුද්ගලයා | සරඹ ක්‍රීඩා
7313,Characters,People & Body,person-sport,🤸‍♂,cartwheel | gymnastics | man | man cartwheeling,කරත්ත රෝද කරන කාන්තාව | කරත්ත රෝද කරන මිනිහා | කරත්ත රෝදය | ක්‍රීඩාව | ජවසරඹ | මිනිහා
7315,Characters,People & Body,person-sport,🤸‍♀,cartwheel | gymnastics | woman | woman cartwheeling,කරත්ත රෝද කරන කාන්තාව | කරත්ත රෝද කරන මිනිසා | කරත්ත රෝදය | කාන්තාව | ක්‍රීඩාව | ජවසරඹ
7317,Characters,People & Body,person-sport,🤼,people wrestling | wrestle | wrestler,ක්‍රීඩා | පුද්ගලයා | මල්ලව පොර | මල්ලව පොර කරුවන් | මල්ලව පොර කරුවා
7319,Characters,People & Body,person-sport,🤼‍♂,men | men wrestling | wrestle,ක්‍රීඩාව | පිරිමි මල්ලව පොර | පිරිමියා | මල්ලව පොර | මිනිහා
7321,Characters,People & Body,person-sport,🤼‍♀,women | women wrestling | wrestle,කාන්තාව | ක්‍රීඩාව | ගැහැණු මල්ලව පොර | මල්ලව පොර | ස්ත්‍රිය
7323,Characters,People & Body,person-sport,🤽,person playing water polo | polo | water,ක්‍රීඩා | ජල පන්දු | ජලය | පුද්ගලයා | පොලෝ
7325,Characters,People & Body,person-sport,🤽‍♂,man | man playing water polo | water polo,ක්‍රීඩාව | ජල පන්දු | ජල පන්දු ක්‍රීඩා කරන මිනිසා | පිරිමියා | මිනිහා
7327,Characters,People & Body,person-sport,🤽‍♀,water polo | woman | woman playing water polo,කාන්තාව | ක්‍රීඩාව | ජල පන්දු | ජල පන්දු ක්‍රීඩා කරන කාන්තාව | ස්ත්‍රිය
7329,Characters,People & Body,person-sport,🤾,ball | handball | person playing handball,අත් පන්දු | ක්‍රීඩා | පන්දු | පුද්ගලයා
7331,Characters,People & Body,person-sport,🤾‍♂,handball | man | man playing handball,අත් පන්දු | අත් පන්දු ක්‍රීඩා කරන මිනිසා | ක්‍රීඩාව | පිරිමියා | මිනිහා
7333,Characters,People & Body,person-sport,🤾‍♀,handball | woman | woman playing handball,අත් පන්දු | අත් පන්දු ක්‍රීඩා කරන කාන්තාව | කාන්තාව | ක්‍රීඩාව | ස්ත්‍රිය
7335,Characters,People & Body,person-sport,🤹,balance | juggle | multitask | person juggling | skill,නිපුණතාව | බහු කාර්යය | විජ්ජා කිරීම | විජ්ජාව | සම බරතාව
7337,Characters,People & Body,person-sport,🤹‍♂,juggling | man | multitask,බහුකාර්ය | මිනිහා | විජ්ජා කරන මිනිසා | විජ්ජා කිරීම
7339,Characters,People & Body,person-sport,🤹‍♀,juggling | multitask | woman,කාන්තාව | බහුකාර්ය | විජ්ජා කරන කාන්තාව | විජ්ජා කිරීම | ස්ත්‍රිය
7341,Characters,People & Body,person-resting,🧘,meditation | person in lotus position | yoga,පද්මාකාර ඉරියව්වෙන් සිටින පුද්ගලයා | භාවනාව | යෝග
7343,Characters,People & Body,person-resting,🧘‍♂,man in lotus position | meditation | yoga,පද්මාකාර ඉරියව්වෙන් සිටින පිරිමියා | භාවනාව | යෝග
7345,Characters,People & Body,person-resting,🧘‍♀,meditation | woman in lotus position | yoga,පද්මාකාර ඉරියව්වෙන් සිටින ගැහැණිය | භාවනාව | යෝග
7347,Characters,People & Body,person-resting,🛀,bath | bathtub | person taking bath,නාන පුද්ගලයා | නාන බේසම | නෑම
7349,Characters,People & Body,person-resting,🛌,good night | hotel | person in bed | sleep,ඇ‍ඳෙහි සිටින පුද්ගලයා | නින්ද | හෝටලය
7351,Characters,People & Body,family,🧑‍🤝‍🧑,couple | hand | hold | holding hands | people holding hands | person,අත | අත් අල්ලා ගෙන සිටින පුද්ගලයන් | අල්ලාගෙන සිටින | පුද්ගලයා | යුවල
7353,Characters,People & Body,family,👭,couple | hand | holding hands | women | women holding hands,අත | අත් අල්ලාගෙන සිටින කාන්තාවන් දෙදෙනෙක් | අල්ලා ගැනීම | කාන්තාව | ජෝඩුව
7355,Characters,People & Body,family,👫,couple | hand | hold | holding hands | man | woman | woman and man holding hands,අත | අත් අල්ලාගෙන සිටින පිරිමියා සහ කාන්තාව | කාන්තාව | ජෝඩුව | පිරිමියා
7357,Characters,People & Body,family,👬,couple | Gemini | holding hands | man | men | men holding hands | twins | zodiac,අත | අත් අල්ලාගෙන සිටින පිරිමි දෙදෙනෙක් | ජෝඩුව | පිරිමි | රාශි චක්‍රය
7359,Characters,People & Body,family,💏,couple | kiss,ජෝඩුව | ප්‍රේමය | හාදුව
7361,Characters,People & Body,family,💑,couple | couple with heart | love,ආදරය | ජෝඩුුව | ප්‍රේමය | හදවත | හදවතක් සමගින් යුවල
7363,Characters,People & Body,family,👪,family,පවුල | පියා | මව | ළමයා
7365,Characters,People & Body,person-symbol,🗣,face | head | silhouette | speak | speaking,කථා කරන හිස | කථා කරනවා | කථා කිරීම | මුහුණ | හිස
7367,Characters,People & Body,person-symbol,👤,bust | bust in silhouette | silhouette,උඩුකය | සිලුවටය | සිලුවටයෙහි උඩුකය
7369,Characters,People & Body,person-symbol,👥,bust | busts in silhouette | silhouette,උඩුකය | සිලුවටය | සිලුවටයෙහිි උඩුකයවල්
7371,Characters,People & Body,person-symbol,🫂,goodbye | hello | hug | people hugging | thanks,ආයුබෝවන් | මිනිස්සු බදාගන්නවා | වැළඳ ගැනීම | ස්තූතියි | හෙලෝ
7373,Characters,People & Body,person-symbol,👣,clothing | footprint | footprints | print,ඇඳුම් | පා සලකුණු | ශරීරය | සලකුණු
7375,Characters,Animals & Nature,animal-mammal,🐵,face | monkey,මුහුණ | වඳුරා | වඳුරු මුහුණ
7377,Characters,Animals & Nature,animal-mammal,🐒,monkey,වඳුරා
7379,Characters,Animals & Nature,animal-mammal,🦍,gorilla,ගෝරිල්ලා | සතා
7381,Characters,Animals & Nature,animal-mammal,🦧,ape | orangutan,ඔරං ඔටං | වානරයා
7383,Characters,Animals & Nature,animal-mammal,🐶,dog | face | pet,බල්ලා | මුහුණ | සුනඛ මුහුණ | සුරතල් සතා
7385,Characters,Animals & Nature,animal-mammal,🐕,dog | pet,සුනඛයා | සුරතල් සතා
7387,Characters,Animals & Nature,animal-mammal,🦮,accessibility | blind | guide | guide dog,අන්ධ | මඟ පෙන්වන බල්ලා | මඟ පෙන්වීම | ළඟාවිය හැකි බව
7389,Characters,Animals & Nature,animal-mammal,🐕‍🦺,accessibility | assistance | dog | service,උපකාරය | බල්ලා | සේවා බල්ලා | සේවාව | ළඟාවිය හැකි බව
7391,Characters,Animals & Nature,animal-mammal,🐩,dog | poodle,කුඩා පූඩල් බල්ලා | බල්ලා
7393,Characters,Animals & Nature,animal-mammal,🐺,face | wolf,මුහුණ | වෘක මුහුණ | වෘකයා
7395,Characters,Animals & Nature,animal-mammal,🦊,face | fox,නරියා | මුහුණ
7397,Characters,Animals & Nature,animal-mammal,🦝,curious | raccoon | sly,කුතුහලයෙන් යුතු | ප්‍රයෝගකාර | රාකියුං
7399,Characters,Animals & Nature,animal-mammal,🐱,cat | face | pet,බළලා | බළල් මුහුණ | මුහුණ | සුරතල් සතා
7401,Characters,Animals & Nature,animal-mammal,🐈,cat | pet,බළලා | සුරතල් සතා
7403,Characters,Animals & Nature,animal-mammal,🐈‍⬛,black | cat | unlucky,අවාසනාවන්ත | කළු | කළු බළලා | පූසා
7405,Characters,Animals & Nature,animal-mammal,🦁,face | Leo | lion | zodiac,මුහුණ | රාශි චක්‍රය | සිංහ මුහුණ | සිංහ රාශි | සිංහයා
7407,Characters,Animals & Nature,animal-mammal,🐯,face | tiger,කොටි මුහුණ | කොටියා | මුහුණ
7409,Characters,Animals & Nature,animal-mammal,🐅,tiger,කොටියා
7411,Characters,Animals & Nature,animal-mammal,🐆,leopard,දිවියා
7413,Characters,Animals & Nature,animal-mammal,🐴,face | horse,අශ්ව මුහුණ | අශ්වයා | මුහුණ
7415,Characters,Animals & Nature,animal-mammal,🫎,animal | antlers | elk | mammal | moose,අං | එල්ක් | ක්ෂීරපායී | ගෝනා | සත්ව
7417,Characters,Animals & Nature,animal-mammal,🫏,animal | ass | burro | donkey | mammal | mule | stubborn,කොටළුවා | ක්ෂීරපායී | බුරෝ | බූරුවා | මුරණ්ඩු | සත්ව
7419,Characters,Animals & Nature,animal-mammal,🐎,equestrian | horse | racehorse | racing,අශ්වයා | තුරඟ තරඟය | රේස් තරඟය
7421,Characters,Animals & Nature,animal-mammal,🦄,face | unicorn,මුහුණ | යුනිකෝන් | යුනිකෝන් අශ්ව මුහුණ
7423,Characters,Animals & Nature,animal-mammal,🦓,stripe | zebra,වයිරම | සිඹ්රා
7425,Characters,Animals & Nature,animal-mammal,🦌,deer,මුවා | සතා
7427,Characters,Animals & Nature,animal-mammal,🦬,bison | buffalo | herd | wisent,බයිසන් | බුද්ධිමත් | මී හරක් | රංචුව
7429,Characters,Animals & Nature,animal-mammal,🐮,cow | face,මුහුණ | හරකා | හරක් මුහුණ
7431,Characters,Animals & Nature,animal-mammal,🐂,bull | ox | Taurus | zodiac,ගොනා | රාශි චක්‍රය | වෘෂභ රාශිය
7433,Characters,Animals & Nature,animal-mammal,🐃,buffalo | water,ජලය | දිය මීහරකා | මීහරකා
7435,Characters,Animals & Nature,animal-mammal,🐄,cow,එළදෙන
7437,Characters,Animals & Nature,animal-mammal,🐷,face | pig,උෟරු මුහුණ | ඌරා | මුහුණ
